,SSID,BSSID,PHY,CHANNEL,FREQUENCY,RSSI(dBm),SNR(dB)
425,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
426,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
427,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
428,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
429,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
430,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-64,
431,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-64,
432,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-80,
433,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-64,
434,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-64,
435,eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-64,
436,TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
437,GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-64,
